0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:25:54 +0530] "GET /toursandtravelsmanagement/login.jsp HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:25:54 +0530] "GET /toursandtravelsmanagement/images/logoforlogin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:25:54 +0530] "GET /toursandtravelsmanagement/images/download.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:25:54 +0530] "GET /toursandtravelsmanagement/css/simpleLightbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:25:55 +0530] "GET /toursandtravelsmanagement/css/login1.css HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:26:42 +0530] "GET /toursandtravelsmanagement/index.jsp HTTP/1.1" 200 21901
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:27:05 +0530] "GET /toursandtravelsmanagement/login.jsp HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:27:40 +0530] "GET /toursandtravelsmanagement/registration.jsp HTTP/1.1" 200 28984
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:28:08 +0530] "GET /toursandtravelsmanagement/booking.jsp HTTP/1.1" 200 29347
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:34:30 +0530] "GET /toursandtravelsmanagement/package.jsp HTTP/1.1" 200 15223
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:34:51 +0530] "GET /toursandtravelsmanagement/css/bootstrap.css.map HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:36:20 +0530] "GET /toursandtravelsmanagement/TripPlaces/london.jsp HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [06/Jul/2018:19:37:09 +0530] "GET /toursandtravelsmanagement/gallery.jsp HTTP/1.1" 200 14009
